acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
GROUPEMENT COOPERATION SANITAIRE - UNION DES HOPITAUX POUR LES ACHATS,ELEKTA,ETI,33,162000000.0,1.0,1703.111858704794,395.0,Rhône,2026-01-30
SPL PLAINE COMMUNE DEVELOPPEMENT,WILLIS TOWERS WATSON FRANCE (WTW - WTW REGION SUD-EST - WTW REGION IDF NORD NORMANDIE - WTW CREDIT - WTW REGION OUEST - WTW AGRI),ETI,66,160466359.0,1.0,2056.0632241934954,,Seine-Saint-Denis,2021-12-09
COMMUNE DE SAINT-DENIS (MAIRIE),COMPAGNIE FRANCAISE D'INFORMATIQUE,ETI,48,160000000.0,1.0,1157.692182600328,3.0,Seine-Saint-Denis,2024-06-04
REGION HAUTS-DE-FRANCE,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,160000000.0,1.0,1157.692182600328,,Nord,2024-04-16
COMMUNAUTE COMMUNES DU BRIANCONNAIS,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,160000000.0,1.0,1157.692182600328,556.0,Hautes-Alpes,2024-02-27
COMMUNE D ARGENTEUIL (MAIRIE),COMPAGNIE FRANCAISE D'INFORMATIQUE,ETI,64,160000000.0,1.0,833.3333333333334,8.0,Val-d'Oise,2024-09-24
DEPARTEMENT DE L'INDRE ET LOIRE,RICOH FRANCE,ETI,72,160000000.0,1.0,1139.0981190642308,195.0,Indre-et-Loire,2023-08-16
DEPARTEMENT DE LA SAVOIE,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,160000000.0,1.0,1157.692182600328,464.0,Savoie,2024-04-16
COMMUNAUTE COMMUNES DU BRIANCONNAIS,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,160000000.0,1.0,1157.692182600328,557.0,Hautes-Alpes,2024-04-16
RESEAU DES ACHETEURS HOSPITALIERS,PETERS SURGICAL,ETI,33,160000000.0,1.0,1682.085786375105,8.0,Paris,2025-10-14
EURO-METROPOLE DE METZ,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,160000000.0,1.0,1157.692182600328,289.0,Moselle,2026-06-15
SYNDICAT MIXTE  TRAITEMENT DES DECHETS MENAGERS ET ASSIMILES-ORGANOM,PAPREC ENERGIE CENTRE EST,GE,45,159906095.0,1.0,1087.6880178012168,2.0,Ain,2025-05-27
CC DU MASSIF DU VERCORS,ENGIE,GE,31,159427690.0,1.0,1328.5640833333334,494.0,Isère,2024-11-05
COMMUNAUTE URBAINE DE DUNKERQUE,OPALE ASSAINISSEMENT,GE,90,158000000.0,1.0,919.0730578153959,1.0,Nord,2024-03-01
COMMUNE DE RIVES (MAIRIE),ENGIE,GE,09,155982470.0,1.0,779.91235,465.0,Isère,2024-11-19
COLLINES ISERE NORD COMMUNAUTE,ENGIE,GE,09,155982470.0,1.0,779.91235,421.0,Isère,2024-11-05
CC DU MASSIF DU VERCORS,ENGIE,GE,31,155982470.0,1.0,1299.8539166666667,494.0,Isère,2024-11-05
COLLINES ISERE NORD COMMUNAUTE,ENGIE,GE,09,155982470.0,1.0,779.91235,421.0,Isère,2026-01-30
COMMUNE DE MOIRANS (MAIRIE),ENGIE,GE,09,155982470.0,1.0,779.91235,,Isère,2026-01-21
CAISSE PREVOYANCE ET RETRAITE PERS FERROVIAIRE,ATOS FRANCE,GE,72,155949148.0,1.0,1110.2586322279335,670.0,Bouches-du-Rhône,2024-06-27
SYNDICAT DEPARTEMENTAL D'ENERGIE 35,ENGIE,GE,09,151279343.44,1.0,756.3967172,295.0,Ille-et-Vilaine,2025-01-14
CC  VALLEE DES BAUX-ALPILLES (CC VBA),E.S.I. FRANCE,ETI,30,150070000.0,1.0,1350.6313506313506,590.0,Bouches-du-Rhône,2025-12-30
CENTRALE D'ACHAT PUBLIC DES TERRITOIRES,COMPOST ET NATURE,PME,77,150000000.0,1.0,1304.3478260869565,138.0,Oise,2024-05-11
CA VAL PARISIS,KONICA MINOLTA BUSINESS SOLUTIONS FRANCE,ETI,30,150000000.0,1.0,1350.00135000135,12.0,Val-d'Oise,2025-12-31
COMMUNE DE MIONS (MAIRIE),KONICA MINOLTA BUSINESS SOLUTIONS FRANCE,ETI,30,150000000.0,1.0,1350.00135000135,418.0,Rhône,2026-03-23
COMMUNE DE SAINT REMY LES CHEVREUSE (MAIRIE),NOMIOS,ETI,64,150000000.0,1.0,781.25,20.0,Yvelines,2025-09-19
COMMUNE DE SAINT-DENIS (MAIRIE),ORANGE LEASE,GE,32,150000000.0,1.0,903.8899809218955,10.0,Seine-Saint-Denis,2025-09-23
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,ORANGE,GE,32,150000000.0,1.0,903.8899809218955,24.0,Val-d'Oise,2025-09-23
COMMUNE D ARGENTEUIL (MAIRIE),ORANGE,GE,32,150000000.0,1.0,903.8899809218955,13.0,Val-d'Oise,2025-09-23
RESEAU DES ACHETEURS HOSPITALIERS,UTILIS SA,PME,34,150000000.0,1.0,1389.0836178330926,,Paris,2026-04-01
PLAINE COMMUNE,ORANGE BUSINESS SERVICES,GE,45,150000000.0,1.0,1020.3063408570043,,Seine-Saint-Denis,2025-09-23
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),AGCO DISTRIBUTION S.A.S.,ETI,16,150000000.0,1.0,2438.6278653877416,72.0,Seine-et-Marne,2025-07-25
PLAINE COMMUNE,NOMIOS,ETI,72,150000000.0,1.0,1067.9044866227164,12.0,Seine-Saint-Denis,2025-09-29
SI ENERGIES DE MAINE ET LOIRE,OCTOPUS ENERGY FRANCE (PLUM ENERGIE),ETI,09,150000000.0,1.0,750.0,260.0,Maine-et-Loire,2025-09-18
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),DAIMLER TRUCK FRANCE S.A.S.U.,ETI,16,150000000.0,1.0,2438.6278653877416,,Seine-et-Marne,2025-09-16
CA DU PAYS NORD MARTINIQUE (EAU),SAUR MARTINIQUE,GE,41,148346138.0,1.0,700.8534145938157,,Martinique,2024-11-04
SYNDICAT MIXTE  TRAITEMENT DES DECHETS MENAGERS ET ASSIMILES-ORGANOM,PAPREC ENERGY FROM WASTE (PAPREC EFW - PAPREC ENERGIES),GE,45,147737534.0,1.0,1004.9169514851818,369.0,Ain,2024-06-24
GROUPEMENT COOPERATION SANITAIRE - UNION DES HOPITAUX POUR LES ACHATS,,,33,145000000.0,1.0,1524.3902439024391,,Rhône,2024-12-16
RESEAU DES ACHETEURS HOSPITALIERS,SOC FRANCAISE D'ORGANISATION COMMERCIALE,PME,15,144000000.0,1.0,1200.0,15.0,Paris,2025-02-12
RESEAU DES ACHETEURS HOSPITALIERS,EUROS,PME,33,144000000.0,1.0,1513.8772077375945,674.0,Paris,2024-12-24
METROPOLE D'AIX-MARSEILLE-PROVENCE,TRANSDEV OUEST PROVENCE,GE,60,140060967.05,1.0,489.25667749013553,39.0,Bouches-du-Rhône,2025-06-10
COMMUNE DE SAINT CLAIR DU RHONE (MAIRIE),ENGIE,GE,09,140035697.0,1.0,700.178485,430.0,Isère,2024-11-05
RESEAU DES ACHETEURS HOSPITALIERS,MATHYS ORTHOPEDIE,ETI,33,138240000.0,1.0,1453.322119428091,,Paris,2025-01-06
COMMUNAUTE D'AGGLOMERATION GRAND SUD CARAIBE,NICOLLIN ANTILLES,GE,90,130340000.14,1.0,758.1771043311958,1.0,Guadeloupe,2025-07-01
ATEXO,VILLE DE PARIS (MAIRIE),GE,45,130000000.0,1.0,884.2654954094038,2.0,Paris,2022-09-13
COMMUNAUTE D'AGGLOMERATION GRAND SUD CARAIBE,NICOLLIN ANTILLES,GE,90,129997000.21,1.0,756.1819018343883,1.0,Guadeloupe,2025-07-01
DIRECTION DE L'EVALUATION DE LA PERFORMANCE ET DES AFFAIRES FINANCIERES ET IMMOBILIERES,ORANGE,GE,64,129465447.65,1.0,674.2992065104168,,Paris,2025-01-08
DIRECTION DE L'EVALUATION DE LA PERFORMANCE ET DES AFFAIRES FINANCIERES ET IMMOBILIERES,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R (SFR),GE,64,129465447.65,1.0,674.2992065104168,8.0,Paris,2025-01-09
BATIGERE GIE,ASSURANCES CONSEILS,PME,66,126000000.0,1.0,1614.4440982074032,27.0,Moselle,2024-10-28
RESEAU DES ACHETEURS HOSPITALIERS,JOHNSON & JOHNSON MEDICAL SAS,GE,33,125280000.0,1.0,1317.0731707317073,9.0,Paris,2024-12-03
PAYS DE SAINT-GILLES-CROIX-DE-VIE AGGLOMERATION,KONICA MINOLTA BUSINESS SOLUTIONS FRANCE,ETI,30,125000000.0,1.0,1125.001125001125,390.0,Vendée,2026-07-16
REGIE DES TRANSPORTS POITEVINS,AGIR TRANSPORT,PME,48,124851917.14,1.0,903.3755528477618,290.0,Vienne,2025-11-05
RESEAU DES ACHETEURS HOSPITALIERS,DUOMED FRANCE ENDOSCOPIE,ETI,33,124800000.0,1.0,1312.026913372582,3.0,Paris,2023-10-23
